Short_title;Full_title;PI;Funder;Partners;LIF_Staff;stud_ing;Projet_duration;start_year;end_year;description;website
"""DIABOLO""";"""Distributed, Integrated and Harmonised Forest Information for Bioeconomy Outlooks""";"""Tuula Packalen, LUKE Finland""";"""EU H2020""";"""33 partners from 26 European countries""";""" Jean-Christophe Hervé,WP leader; Cédric Vega,WP2 leader""";"""Maryem Fadili,Ing; Jan Hackenberg, Postdoctoral Fellow""";6;2014;2019;"""DIABOLO aims at producing better knowledge of forest resources and their ability to sustainably supply forest ecosystem goods and services as required by a broad range of relevant stakeholders. This knowledge will create new opportunities for an innovative, sustainable and inclusive bio-economy in Europe.""";http://diabolo-project.eu/
"""MONITOR""";"""Agile Forest Ecological Monitoring System""";"""Jérôme Chave, CNRS; Camille Piponiot, CIRAD""";"""PEPR Forestt""";"""CNRS, CIRAD,  CEA, CNES, IGN, INRAE, ONF, Univ. de Picardie, Réserves Na-turelles de France""";"""Cédric Vega, Participant""";"""Luigui Ramirez Parra, Phd""";6;2024;2030;"""Advances in forest monitoring have made it possible to document changes in global forest cover and the carbon balance, and to improve risk assessment. However, forest inventories face major challenges, and there is a need to provide detailed, accurate, regular, and real-time information on forest condition and management, with open access. MONITOR will deliver new methods and tools, as well as validation protocols, paving the way for the implementation of a high-resolution, multi-source, national forest monitoring system for France, including its overseas territories. The methodology is based on satellite and ground-based data and will be directly applicable to other regions. We will provide data analyses that enhance knowledge on the detection, quantification, and attribution of forest responses to global change.""";https://www.pepr-forestt.fr/projets/pc-monitor
"""X-RISKS""";"""Analysis and Management of Multiple Risks for Forest Socio-Ecosystems""";"""Marielle Brunette,  INRAE; Eric Rigolot, INRAE""";PEPR Forestt;"""Université de Pau et des Pays de l'Adour, AgroParisTech, Ecole d'Ingénieur de Purpan, Aix - Marseille Université, ONF, INRAE, CIRAD, CNRS, IRD, IGN, CNPF""";"""Alexander Massey, Participant""";;6;2024;2030;"""The X-RISKS project is based on the observation that forest-related risks are often considered in isolation, independently of one another. Existing studies, for instance, focus on the economic risk following the occurrence of a storm (a drop in timber prices), the environmental risk associated with a wildfire (carbon release, loss of biodiversity), or the impact of geopolitical risks on the supply of the forest-based sector (supply contraction, price increases, substitution effects).
However, in a context of global change, this assumption of independence between risks is no longer relevant. Risks are becoming interconnected, correlated, cascading, and mutually dependent, both temporally and spatially. Addressing the issue of multiple risks therefore becomes a matter of critical importance and calls for a paradigm shift, new tools, and innovative approaches to better inform strategies and guide action.""";https://www.pepr-forestt.fr/projets/pc-x-risks
"""RÉGÉ-ADAPT""";“Forest Regeneration and Renewal for the Adaptation of Forest Socio-Ecological Systems to Climate Change”;"""Georges Kunstler, INRAE; Bruno Locatelli, CIRAD""";PEPR Forestt;"""AgroParisTech, Aix-Marseille Université, Université Claude Bernard - Lyon1, Université de Rouen - Normandie, Université de Picardie - Jules Verne, Université d'Orléans, MNHN, OFB, INRAE, CIRAD, CNRS, IGN, ONF""";""" Lionel Hertzog, Scientific contact for Géodata Paris and Task co-leader""";"""Théophile Moreal de Brévans, Phd""";6;2024;2030;"""Climate change is affecting the capacity of forests to provide nature’s contributions to people (NCP), such as timber production or watershed regulation, as well as to support biodiversity. The future adaptation and resilience of forest socio-ecological systems will depend on forest renewal and regeneration—that is, the natural or artificial re-establishment of trees following natural disturbances or harvests. Regeneration trajectories will depend not only on ecological processes but also on management choices, which should reflect societal preferences and values as well as governance contexts.
We need a better understanding of how regeneration trajectories will unfold under ongoing climate change, how we can manage them to promote forest adaptation while preserving biodiversity, soils, and NCP, and how regeneration can be governed. This focal project aims to fill these knowledge gaps""";https://www.pepr-forestt.fr/projets/pc-rege-adapt
"""ALAMOD""";"""Towards carbon dynamics models of ecosystems validated using a widely recognized benchmarking tool”";"""Antonio Bispo, INRAE; Thiphaine Chevallier,UMR Ecosol; Philippe Peylin, LSCE; Bertrand Guenet, CNRS""";PEPR FairCarBon;;"""Cédric Vega, Scientific contact for Géodata Paris; Nikola Besic, Participant""";"""Amaël Le-Squin, Ing""";6;2023;2029;"""The objectives of the ALAMOD project are to: 1) Inventory and complete datasets produced by sites/networks that track carbon (C) stock dynamics in soils and biomass, operated by the French research community; 2) 
Develop innovative methods based on IR spectroscopy and satellite imagery to supplement these datasets; 3) Build a data repository and portal to make these datasets available and interoperable; 4) Compare ecosystem carbon dynamics models developed by the French community using these datasets; 5) Improve existing models or develop new ones to accurately simulate carbon stock dynamics at different spatial scales and across various vegetation types.""";https://www.pepr-faircarbon.fr/projets/projets-cibles/alamod
"""SylvoSanSat""";"""Forest Health Monitoring Using Satellite Imagery”";""" Jean-Baptiste Férêt, INRAE""";"""TOSCA - CNES""";"""UMR TETIS, CNPF,IGN, INRAE DSF, ONF, UMR CESBIO, Université d’Orléans """;"""Nikola Besic, scientific contact for Géodata Paris; Cédric Vega, participant""";;3;2023;2025;"""This project aims to develop a method to detect forest health issues using optical remote sensing. The approach relies on anomaly detection in image time series and will initially target bark beetle infestations in spruce forests.""";
"""INFORM""";"""Multisource forest inventory : a generic and flexible tool for forest resource estimation and mapping at fine scale""";"""Cédric Vega, Géodata Paris IGN""";"""Impact LUE DEEPSURF""";;;"""Ankit Sagar, Phd""";3;2020;2023;"""This projet aims of the project was to develop multi-source forest inventory maps with uncertainty assessment and to test different estimation framework to estimate forest attributes impacted by disturbances""";
"""SLIM""";"""Space Lidar for Improved Multisource Forest Inventory"" ";"""Sylvie Durrieu, INRAE""";"""TOSCA - CNES""";"""UMR TETIS, IGN, UMR CESBIO, ONF""";"""Cédric Vega, co-PI; Nikola Besic, Participant""";"""Anouk Schleich, Phd""";5;2020;2024;"""The central and innovative idea of this project is to exploit terrestrial laser scanning (TLS) data from IGN, acquired on a subsample of inventory plots, together with the DART radiative transfer model (developed by CESBIO), to build a dataset combining field measurements and simulated GEDI LiDAR measurements. This dataset will then be used to impute forest attributes across the full set of GEDI signals. The ability to generate realistic forest scenes from TLS data as inputs to DART for LiDAR signal simulation has already been demonstrated within the TOSCA STEM-LEAF and LEAF-EXPEVAL projects. The resulting virtual plots will contribute to densifying the inventory sampling, either by improving predictions at the national scale or by enabling predictions with acceptable uncertainty levels for small-area domains. Sentinel-2 data will then be integrated as auxiliary variables within a more classical multi-source inventory framework. This project aims to deliver an operational method deployable at the national level. It directly contributes (1) to upstream projects supporting the development of the LEAF mission, by proposing operational approaches for exploiting data from a high-energy, large-footprint spaceborne LiDAR, and (2) to the valorization of data from the Copernicus programme.""";
"""FORET_50m""";"""Forest Carbon Mapping over France and Europe at 50 m Resolution.""";"""Jean-Pierre Wigneron, INRAE""";"""TOSCA - CNES""";"""INRAE, LSCE, Kayros, IGN""";"""Cédric Vega, Participant; Nikola Besic, Participant""";;3;2024;2026;"""The objective of the project is to produce aboveground biomass maps at a 50-m spatial resolution—the highest operational resolution currently achievable—initially over France and subsequently at the European scale. This reference dataset will also be essential, particularly for validation purposes, to support the development of tree-level approaches, such as those envisaged within the framework of the OFS (One Forest Summit, 2023).""";
"""IFM-GT""";"""Multi-Source Forest Inventory: Towards the Development of Forest Information Systems to Optimize Forest Management Strategies at the Territorial Level.""";"""Cédric Vega, Géodata Paris IGN""";"""ADEME REACCTIF3""";"""ONF, CNPF""";;"""Dinesh Babu Irulappa-Pillai-Vijayakumar, Postdoctoral Fellow""";4;2016;2019;"""The objective of the project was to intitiate the development of muti-source forest inventories approaches in France""";
